scene,listener,sii
S06001,L0064,0.02681938778727364
S06001,L0068,0.04517772616634681
S06001,L0008,0.042581059114962384
S06002,L0044,0.10804473823893099
S06002,L0082,0.23116471692378973
S06002,L0078,0.27432047641004204
S06003,L0066,0.015762069010406082
S06003,L0051,0.01814887337098663
S06003,L0077,0.01940329974795781
S06004,L0059,0.2834489630503191
S06004,L0092,0.18548003082174772
S06004,L0036,0.054521128461538206
S06005,L0081,0.19933392096263802
S06005,L0023,0.36923399707029186
S06005,L0048,0.16951817238527697
S06006,L0023,0.7873196655814603
S06006,L0015,0.6652535070020117
S06006,L0097,0.6727233884608715
S06007,L0042,0.5841643140784358
S06007,L0085,0.10987289185246639
S06007,L0095,0.059935730234672954
S06008,L0024,0.030976029405986014
S06008,L0053,0.0371612379281287
S06008,L0015,0.03356497388504198
S06009,L0012,0.008207999676003663
S06009,L0056,0.0065516392402043076
S06009,L0076,0.009601890752850386
S06010,L0089,0.12325477085898946
S06010,L0015,0.18584688541207553
S06010,L0059,0.08149615917671968
S06011,L0070,0.008807493036277616
S06011,L0054,0.012962335898783133
S06011,L0096,0.007263987069411053
S06012,L0099,0.007626079377773747
S06012,L0035,0.006112177129988163
S06012,L0088,0.008910506540454782
S06013,L0077,0.020760862344297602
S06013,L0071,0.019504919167144377
S06013,L0083,0.014899175448452383
S06014,L0044,0.014589971106765054
S06014,L0010,0.01020755925439337
S06014,L0088,0.04324061718790172
S06015,L0002,0.5275117495733405
S06015,L0014,0.5014780648115186
S06015,L0066,0.5384545465643384
S06016,L0098,0.24683590828916563
S06016,L0001,0.3968084328746938
S06016,L0096,0.3321656830774981
S06017,L0080,0.18068763634953905
S06017,L0056,0.16888297793185408
S06017,L0041,0.046557667384980087
S06018,L0055,0.11482363712774943
S06018,L0011,0.009737621788655297
S06018,L0032,0.29142330564307933
S06019,L0090,0.2962789047561697
S06019,L0038,0.07563515799892981
S06019,L0040,0.0672139811954614
S06020,L0024,0.4505310694321341
S06020,L0086,0.14067330391924185
S06020,L0072,0.4012805320819757
S06021,L0014,0.004917308409809695
S06021,L0013,0.0061946624827635
S06021,L0054,0.007313053389682301
S06022,L0082,0.43721477870948666
S06022,L0078,0.41726448702180224
S06022,L0017,0.501488997296209
S06023,L0051,0.013865922185812722
S06023,L0088,0.04848782316781804
S06023,L0049,0.016402251483173702
S06024,L0021,0.004438430430456871
S06024,L0088,0.005657036066288369
S06024,L0056,0.004270157668851561
S06025,L0086,0.00945051326280114
S06025,L0035,0.027770491324727406
S06025,L0095,0.06678859936407956
S06026,L0088,0.010390320301848098
S06026,L0093,0.014197888822989564
S06026,L0048,0.017501034732220706
S06027,L0071,0.012546289912021114
S06027,L0014,0.008197822651006857
S06027,L0094,0.010317483076265586
S06028,L0064,0.004773246117949282
S06028,L0054,0.004508629341176205
S06028,L0091,0.008331708397753317
S06029,L0040,0.3411060479689088
S06029,L0049,0.10684436589515127
S06029,L0031,0.19459209933806015
S06030,L0032,0.19452722724351615
S06030,L0031,0.1978340365795346
S06030,L0005,0.16301582224218733
S06031,L0096,0.024599628770159324
S06031,L0044,0.02295833389555709
S06031,L0076,0.016770463935391892
S06032,L0011,0.01570953528120429
S06032,L0014,0.05684554933567125
S06032,L0022,0.06676257318298191
S06033,L0026,0.05524797752932418
S06033,L0005,0.1616230881057766
S06033,L0013,0.3974598927553059
S06034,L0086,0.16145998230669595
S06034,L0065,0.11099438183370436
S06034,L0084,0.20478593081446378
S06035,L0047,0.4488058744449731
S06035,L0083,0.4932726261331706
S06035,L0040,0.04869472097327422
S06036,L0036,0.070027886138707
S06036,L0093,0.25631929814330734
S06036,L0068,0.06096382882999643
S06037,L0092,0.027089783005335613
S06037,L0047,0.037406830792983646
S06037,L0072,0.05433669555479108
S06038,L0080,0.6267419094815088
S06038,L0100,0.827675901826994
S06038,L0059,0.8867351517006087
S06039,L0013,0.004971604022835432
S06039,L0055,0.005213572740065297
S06039,L0096,0.0056512468017050855
S06040,L0019,0.8157952475410432
S06040,L0078,0.7272258356511635
S06040,L0093,0.6874276550628807
S06041,L0098,0.04969295228413689
S06041,L0056,0.09379326438285858
S06041,L0032,0.06089649646265664
S06042,L0041,0.03839239070901911
S06042,L0003,0.16652176731048782
S06042,L0045,0.14695650904577048
S06043,L0019,0.0309276384905285
S06043,L0038,0.010861145438807906
S06043,L0062,0.012866985332686516
S06044,L0028,0.11088729243722158
S06044,L0056,0.2888410492144943
S06044,L0069,0.13216535326026915
S06045,L0010,0.010063171688146268
S06045,L0015,0.02487369643256751
S06045,L0024,0.026429214845935585
S06046,L0038,0.25543444182028346
S06046,L0008,0.25415862442671794
S06046,L0091,0.3741333651507151
S06047,L0099,0.030157695127554545
S06047,L0085,0.02016024011475421
S06047,L0095,0.029899754709994345
S06048,L0012,0.03786127004507764
S06048,L0004,0.11873071786739095
S06048,L0021,0.03219503441214643
S06049,L0099,0.018417161652320414
S06049,L0032,0.30531316735432235
