scene,listener,sii
S06073,L0047,0.5619972228818034
S06073,L0023,0.4036417533822019
S06074,L0040,0.1731627105772916
S06074,L0077,0.2911330159074394
S06074,L0059,0.3442524650178697
S06075,L0096,0.5149533668255364
S06075,L0048,0.40692404691782647
S06075,L0059,0.5922001184850898
S06076,L0093,0.314389227488634
S06076,L0099,0.28567416214104346
S06076,L0097,0.3394282562742651
S06077,L0022,0.5949764782865891
S06077,L0053,0.5723973501727107
S06077,L0064,0.5737457349068115
S06078,L0068,0.5372175516546247
S06078,L0013,0.6500034205901102
S06078,L0001,0.5739391932691198
S06079,L0094,0.5711501072632705
S06079,L0032,0.4877841566053948
S06079,L0056,0.5066573353091569
S06080,L0027,0.39268458820284846
S06080,L0040,0.43086719259200223
S06080,L0038,0.3135522762125133
S06081,L0099,0.38857752361744385
S06081,L0072,0.36367845762233736
S06081,L0063,0.5250555991178888
S06082,L0090,0.3715224942422695
S06082,L0068,0.42400777004001433
S06082,L0005,0.5330532985636636
S06083,L0066,0.37905624325210174
S06083,L0090,0.40546933777188887
S06083,L0068,0.40980792768611324
S06084,L0008,0.5035190438959024
S06084,L0028,0.38752348573347495
S06084,L0072,0.4066972714590453
S06085,L0011,0.5118267746705137
S06085,L0044,0.428586073519047
S06085,L0027,0.4659956978602256
S06086,L0072,0.3026940263080562
S06086,L0084,0.25051186643167256
S06086,L0078,0.34126705620403897
S06087,L0089,0.5422986797791426
S06087,L0095,0.5132801700167583
S06087,L0001,0.39658414165335104
S06088,L0005,0.3731577564215742
S06088,L0080,0.3442082701240009
S06088,L0055,0.33292742556656096
S06089,L0053,0.5005775141753659
S06089,L0074,0.4483746389162814
S06089,L0009,0.4431526239365114
S06090,L0068,0.3565580893223657
S06090,L0032,0.3738100492786884
S06090,L0088,0.3992499159817864
S06091,L0099,0.35591883126156376
S06091,L0013,0.484158696930517
S06091,L0022,0.5009980342066085
S06092,L0002,0.44620148103992124
S06092,L0066,0.39435922717146554
S06092,L0068,0.4343641609054364
S06093,L0054,0.45764415238689704
S06093,L0001,0.3152713346109352
S06093,L0036,0.331351848271759
S06094,L0002,0.38153758202515836
S06094,L0001,0.40190827558528425
S06094,L0084,0.30745061884399366
S06095,L0096,0.4333805363643882
S06095,L0015,0.4418912454983631
S06095,L0032,0.5472862556428422
S06096,L0021,0.26724175035140874
S06096,L0095,0.32997238917010946
S06096,L0034,0.2993888111423955
S06097,L0051,0.2865483001947505
S06097,L0047,0.2970360139806845
S06097,L0031,0.24263872051089516
S06098,L0015,0.32061938353522595
S06098,L0076,0.37793127870618987
S06098,L0065,0.5597245598214047
S06099,L0098,0.6070455536652192
S06099,L0013,0.5343038142345006
S06099,L0003,0.4449526135577055
S06100,L0047,0.48536420788149165
S06100,L0072,0.36012627470900355
S06100,L0019,0.3857078474674435
S06101,L0042,0.5195772794646685
S06101,L0023,0.5579647294274118
S06101,L0083,0.7243322390234732
S06102,L0100,0.5160897559701118
S06102,L0058,0.379862260554167
S06102,L0019,0.3634686995206401
S06103,L0026,0.3482919837828867
S06103,L0047,0.40810833257969575
S06103,L0003,0.4098959562544427
S06104,L0008,0.3970296933262301
S06104,L0035,0.3955557451254378
S06104,L0044,0.47742356895977767
S06105,L0089,0.38606378630250937
S06105,L0054,0.22938057212985125
S06105,L0061,0.4560150469044903
S06106,L0090,0.4559801156199393
S06106,L0008,0.39781375661398305
S06106,L0095,0.3593560277805896
S06107,L0080,0.4712729196005956
S06107,L0100,0.38512451393038416
S06107,L0073,0.398520395823046
