scene,listener,haspi
S06023,L0088,0.19779246779781895
S06023,L0049,0.03965317279975509
S06024,L0021,0.009393806530730922
S06024,L0088,0.011777401211732456
S06024,L0056,0.008040897465189252
S06025,L0086,0.010075941202218195
S06025,L0035,0.05721262009698217
S06025,L0095,0.07128219504809177
S06026,L0088,0.015926412694933532
S06026,L0093,0.026484826865535927
S06026,L0048,0.023262142091033625
S06027,L0071,0.010168339769255786
S06027,L0014,0.008248948238226684
S06027,L0094,0.008799286800624967
S06028,L0064,0.013863046824224757
S06028,L0054,0.021897742349094425
S06028,L0091,0.010989602250751034
S06029,L0040,0.32109284841332025
S06029,L0049,0.25840552585413534
S06029,L0031,0.2853002778815156
S06030,L0032,0.347551829583391
S06030,L0031,0.3780209148844603
S06030,L0005,0.5190758815863161
S06031,L0096,0.048622504781083375
S06031,L0044,0.035501595393180554
S06031,L0076,0.06236061112893113
S06032,L0011,0.011392642300766443
S06032,L0014,0.021302444676448776
S06032,L0022,0.016868461711922647
S06033,L0026,0.7158981716656989
S06033,L0005,0.8383831810126154
S06033,L0013,0.87956970171058
S06034,L0086,0.037456677818886966
S06034,L0065,0.07593410373601975
S06034,L0084,0.20818094890455596
S06035,L0047,0.18637604388608925
S06035,L0083,0.14494078078414985
S06035,L0040,0.09486709585972403
S06036,L0036,0.03551339404539895
S06036,L0093,0.1213687893667775
S06036,L0068,0.07477213877691333
S06037,L0092,0.01038747031305463
S06037,L0047,0.014990520904098237
S06037,L0072,0.012275513744640842
S06038,L0080,0.678869273850831
S06038,L0100,0.8346126749794615
S06038,L0059,0.7376835436804525
S06039,L0013,0.014094459520279106
S06039,L0055,0.006120611371047012
S06039,L0096,0.006095093829168069
S06040,L0019,0.6718260224160225
S06040,L0078,0.7394776340763134
S06040,L0093,0.7484241642729236
S06041,L0098,0.1501759974623029
S06041,L0056,0.18684965829222286
S06041,L0032,0.3885575974691096
S06042,L0041,0.0353542781583808
S06042,L0003,0.05509866567264652
S06042,L0045,0.03694167645767241
S06043,L0019,0.03500814283019643
S06043,L0038,0.01924010282441737
S06043,L0062,0.023356943074471937
S06044,L0028,0.23688109536500032
S06044,L0056,0.0612526730240995
S06044,L0069,0.15305931591255298
S06045,L0010,0.15289273532844802
S06045,L0015,0.019285692113315957
S06045,L0024,0.019052710629759783
S06046,L0038,0.05468768053041097
S06046,L0008,0.0826804712322796
S06046,L0091,0.10583036249217853
S06047,L0099,0.011520370104298547
