scene,listener,haspi
S06054,L0010,0.011761841264585186
S06055,L0003,0.06365943969933013
S06055,L0086,0.08115623455335862
S06055,L0069,0.26904905428260484
S06056,L0097,0.0061584914778912755
S06056,L0015,0.008207342204939629
S06056,L0044,0.012316027469642374
S06057,L0011,0.0332582779407137
S06057,L0038,0.08798517628058977
S06057,L0012,0.4346314706657335
S06058,L0100,0.34609912316455166
S06058,L0051,0.011092544246642648
S06058,L0058,0.10866310813830389
S06059,L0070,0.008768170122049083
S06059,L0031,0.010072742621087507
S06059,L0010,0.013696254058861095
S06060,L0081,0.01942809774601855
S06060,L0074,0.21441729528559378
S06060,L0008,0.04138865050305809
S06061,L0094,0.011166642735585198
S06061,L0015,0.008982876060522766
S06061,L0065,0.008540487045672628
S06062,L0034,0.050562958186510895
S06062,L0044,0.05082950373326705
S06062,L0059,0.24512401738825668
S06063,L0076,0.2562455369538719
S06063,L0090,0.19227496307411487
S06063,L0028,0.2938077204145502
S06064,L0035,0.4166690977278448
S06064,L0010,0.013396375691647472
S06064,L0027,0.2970012748932475
S06065,L0027,0.006167765226668942
S06065,L0057,0.010640650018155893
S06065,L0084,0.009045800542914232
S06066,L0042,0.005002730796215307
S06066,L0021,0.0059072395650334765
S06066,L0094,0.005947820848338406
S06067,L0071,0.011003581265634763
S06067,L0029,0.019048014750229054
S06067,L0002,0.009584591282053497
S06068,L0076,0.04370006521495354
S06068,L0067,0.039422156114775245
S06068,L0090,0.024394802133461648
S06069,L0082,0.3642646458698301
S06069,L0053,0.1092332468095059
S06069,L0059,0.6164684547747512
S06070,L0064,0.006058069548695123
S06070,L0042,0.00800902739122648
S06070,L0026,0.006992047290839457
S06071,L0089,0.07191404263164378
S06071,L0002,0.021402016247100534
S06071,L0073,0.014189453432368949
S06072,L0013,0.009742495504366037
S06072,L0056,0.00962490794504011
S06072,L0008,0.008685671238013911
S06073,L0086,0.4383379901347709
S06073,L0047,0.5199141473700951
S06073,L0023,0.47281931302064956
S06074,L0040,0.06653473502132896
S06074,L0077,0.10191118859097788
S06074,L0059,0.11300355615679718
S06075,L0096,0.007838290304533061
S06075,L0048,0.05761495040181411
S06075,L0059,0.017711763317409566
S06076,L0093,0.09538435513626284
S06076,L0099,0.2243974929722238
S06076,L0097,0.07739520105342958
S06077,L0022,0.07875246971377514
S06077,L0053,0.08026844529819165
S06077,L0064,0.062477973824735376
S06078,L0068,0.03396172441050976
S06078,L0013,0.04665165343102042
S06078,L0001,0.021575901219336183
S06079,L0094,0.18857413679361087
S06079,L0032,0.04796666754548731
S06079,L0056,0.059147487123845294
S06080,L0027,0.07378232837145307
S06080,L0040,0.2890350301746561
S06080,L0038,0.07052658851263888
S06081,L0099,0.04600313270857863
S06081,L0072,0.05635338897612327
S06081,L0063,0.12385350345504302
S06082,L0090,0.029619098982071896
S06082,L0068,0.04220529640927724
S06082,L0005,0.043786689387919624
S06083,L0066,0.08149972728397711
S06083,L0090,0.222105340186146
S06083,L0068,0.2245930876781139
S06084,L0008,0.01250714088252627
S06084,L0028,0.01299693966170271
S06084,L0072,0.010501508618591197
S06085,L0011,0.0561039940935636
S06085,L0044,0.07750572816580349
S06085,L0027,0.1130390086485995
S06086,L0072,0.15673705408046332
S06086,L0084,0.06864041528342922
S06086,L0078,0.14253192383845603
S06087,L0089,0.06817046298398347
S06087,L0095,0.06119867230710324
S06087,L0001,0.02940032471035336
S06088,L0005,0.021459084963737444
S06088,L0080,0.0328728105067766
S06088,L0055,0.07521903819246205
S06089,L0053,0.008083430245449764
S06089,L0074,0.01632461454416492
S06089,L0009,0.007425096658757495
S06090,L0068,0.01737650616068686
S06090,L0032,0.01935732508701658
S06090,L0088,0.023477196715863784
S06091,L0099,0.005200895149028039
S06091,L0013,0.0059478544333762
S06091,L0022,0.007477248714086793
S06092,L0002,0.1287245584962325
S06092,L0066,0.37901460191445685
S06092,L0068,0.06362459002630128
S06093,L0054,0.154482386887305
S06093,L0001,0.009151340571021892
S06093,L0036,0.008625643658728168
S06094,L0002,0.2855599282931876
S06094,L0001,0.17145235377673768
S06094,L0084,0.1843941072576667
S06095,L0096,0.41483440830933493
S06095,L0015,0.7706122643357141
S06095,L0032,0.6994777073198248
S06096,L0021,0.21240199095548082
S06096,L0095,0.0324824617285887
S06096,L0034,0.11147411026404634
S06097,L0051,0.01717152843308053
S06097,L0047,0.4176269597944099
S06097,L0031,0.2583158500092945
S06098,L0015,0.02061095778772128
S06098,L0076,0.016845153608386756
S06098,L0065,0.04706790986438473
S06099,L0098,0.06663581992123666
S06099,L0013,0.03536531549241181
S06099,L0003,0.030783770391187945
S06100,L0047,0.4196720653513206
S06100,L0072,0.40491407835346005
S06100,L0019,0.17532549571765163
S06101,L0042,0.5751582680109932
S06101,L0023,0.4786461883365876
S06101,L0083,0.56558418338264
S06102,L0100,0.06588776236197165
S06102,L0058,0.021307771129804177
S06102,L0019,0.03823452303085658
S06103,L0026,0.007483406292466
S06103,L0047,0.009644466846267807
S06103,L0003,0.008003490863275139
S06104,L0008,0.026021632628428493
S06104,L0035,0.008847632317260382
S06104,L0044,0.009125710918272635
S06105,L0089,0.01214992002298784
S06105,L0054,0.009265177801899558
S06105,L0061,0.006878783691005073
S06106,L0090,0.17445805297454023
S06106,L0008,0.20267202162077294
S06106,L0095,0.052168007526526505
S06107,L0080,0.019545995595355258
S06107,L0100,0.02924741514712179
S06107,L0073,0.008750485654702997
S06108,L0099,0.011823191112804042
S06108,L0070,0.02418577610886852
S06108,L0062,0.010676515366787931
S06109,L0085,0.0059847710909619
S06109,L0029,0.012157241240221505
S06109,L0035,0.021525226372775104
S06110,L0063,0.03061875245438122
S06110,L0093,0.026973959164766838
S06110,L0049,0.005146271304043652
S06111,L0002,0.26293585889851684
S06111,L0023,0.2304130896672666
S06111,L0026,0.03447858633858877
S06112,L0045,0.27119211338487326
S06112,L0056,0.06959527398451598
S06112,L0057,0.1729508301808965
S06113,L0062,0.01124605608349903
S06113,L0014,0.011918119444915146
S06113,L0057,0.008830805659107262
S06114,L0097,0.01615752435644576
S06114,L0005,0.017541343760729623
S06114,L0008,0.022719586337391916
S06115,L0045,0.15230361023264394
S06115,L0027,0.09427795505542166
S06115,L0026,0.010456636215064628
S06116,L0092,0.19592061740421157
S06116,L0049,0.039433610255363266
S06116,L0061,0.6082697780186224
S06117,L0065,0.00654726796647201
S06117,L0088,0.037152023217834534
S06117,L0022,0.03522721746886026
S06118,L0049,0.06256470437292373
S06118,L0019,0.024709351406616533
S06118,L0077,0.04924898911870462
S06119,L0040,0.5266340899608354
S06119,L0009,0.6295988498617374
S06119,L0053,0.5587980705891228
S06120,L0029,0.016016272940319157
S06120,L0083,0.06097565665825621
S06120,L0012,0.11849588585307108
S06121,L0051,0.006664131279847315
S06121,L0066,0.006020278713488883
S06121,L0056,0.008750963667355229
S06122,L0051,0.009708572116533287
S06122,L0068,0.032406591111088845
S06122,L0017,0.10958435407072094
S06123,L0015,0.3644724847115147
S06123,L0089,0.36603827650911597
S06123,L0077,0.4203829612934275
S06124,L0076,0.6982370908583957
S06124,L0057,0.6481319085814987
S06124,L0021,0.1975823052279467
S06125,L0077,0.4631915276934652
S06125,L0019,0.38709101247893374
